"Storage 193957 - RawData - F:\201701009\2017-2896\1.spc"
"²¨³¤(nm)","T%"
200.00,9.750
200.50,9.706
201.00,9.419
201.50,9.412
202.00,9.291
202.50,9.314
203.00,9.758
203.50,9.547
204.00,9.447
204.50,9.525
205.00,9.222
205.50,9.238
206.00,9.035
206.50,8.842
207.00,8.707
207.50,8.690
208.00,8.876
208.50,8.818
209.00,8.868
209.50,8.890
210.00,8.624
210.50,8.617
211.00,8.684
211.50,8.470
212.00,8.455
212.50,8.339
213.00,8.183
213.50,8.228
214.00,8.141
214.50,8.145
215.00,8.139
215.50,8.105
216.00,8.177
216.50,8.089
217.00,7.932
217.50,7.857
218.00,7.639
218.50,7.599
219.00,7.600
219.50,7.602
220.00,7.722
220.50,7.663
221.00,7.658
221.50,7.591
222.00,7.481
222.50,7.466
223.00,7.370
223.50,7.314
224.00,7.225
224.50,7.118
225.00,7.121
225.50,7.249
226.00,7.240
226.50,7.304
227.00,7.288
227.50,7.089
228.00,7.011
228.50,6.888
229.00,6.886
229.50,6.874
230.00,6.947
230.50,6.921
231.00,6.836
231.50,6.871
232.00,6.764
232.50,6.856
233.00,6.914
233.50,6.877
234.00,6.964
234.50,6.924
235.00,6.844
235.50,6.830
236.00,6.918
236.50,6.964
237.00,7.060
237.50,7.147
238.00,7.179
238.50,7.243
239.00,7.310
239.50,7.396
240.00,7.503
240.50,7.613
241.00,7.808
241.50,7.974
242.00,8.208
242.50,8.423
243.00,8.678
243.50,9.036
244.00,9.274
244.50,9.680
245.00,10.034
245.50,10.480
246.00,11.028
246.50,11.508
247.00,12.103
247.50,12.579
248.00,13.208
248.50,13.907
249.00,14.644
249.50,15.579
250.00,16.434
250.50,17.317
251.00,18.163
251.50,19.020
252.00,19.984
252.50,20.952
253.00,22.000
253.50,23.027
254.00,23.996
254.50,25.197
255.00,26.370
255.50,27.602
256.00,28.990
256.50,30.186
257.00,31.422
257.50,32.648
258.00,33.850
258.50,35.063
259.00,36.485
259.50,37.842
260.00,39.082
260.50,40.434
261.00,41.707
261.50,42.935
262.00,44.307
262.50,45.586
263.00,46.799
263.50,48.157
264.00,49.358
264.50,50.616
265.00,51.758
265.50,52.853
266.00,54.071
266.50,55.240
267.00,56.522
267.50,57.759
268.00,58.546
268.50,59.419
269.00,60.269
269.50,61.038
270.00,61.964
270.50,63.025
271.00,63.860
271.50,64.748
272.00,65.816
272.50,66.437
273.00,67.264
273.50,67.708
274.00,68.346
274.50,69.048
275.00,69.353
275.50,70.140
276.00,70.432
276.50,70.789
277.00,71.379
277.50,71.873
278.00,72.580
278.50,73.091
279.00,73.596
279.50,73.912
280.00,74.300
280.50,74.849
281.00,75.323
281.50,75.865
282.00,76.051
282.50,76.236
283.00,76.349
