samlpe:1
direct band gap: wevelength=251.729549238nm energy=4.92592150487eV
	linear fit coefficient: slope=3302.67616762 intercept=-16268.7235577 r=0.990583817164
indirect band gap: wevelength=268.535431803nm energy=4.61764018131eV
	linear fit coefficient: slope=9.88591908185 intercept=-45.6496171816 r=0.994073460789
datas:
wavelength	R	hv	F(R)	(hvF(R))^2	(hvF(R))^1/2
200.0	0.0975	6.2	4.17695512821	670.660917258	5.08892147659
200.5	0.09706	6.18453865337	4.19998270966	674.698308624	5.09656309795
201.0	0.09419	6.16915422886	4.35551415278	721.988223942	5.18361250041
201.5	0.09412	6.15384615385	4.35942719082	719.701034114	5.17950231694
202.0	0.09291	6.13861386139	4.42800703961	738.851631622	5.21361922197
202.5	0.09314	6.12345679012	4.41483283015	730.839214426	5.199426706
203.0	0.09758	6.10837438424	4.17279081984	649.687517982	5.04866007518
203.5	0.09547	6.09336609337	4.28498230282	681.730317976	5.10979117721
204.0	0.09447	6.07843137255	4.33992050863	695.899597477	5.13613755404
204.5	0.09525	6.06356968215	4.29696883202	678.861458313	5.10440691315
205.0	0.09222	6.0487804878	4.46792739319	730.378300854	5.19860673997
205.5	0.09238	6.03406326034	4.45861693224	723.802435096	5.18686578029
206.0	0.09035	6.01941747573	4.57920931101	759.783608461	5.25015928822
206.5	0.08842	6.00484261501	4.69903922416	796.198580125	5.31196677162
207.0	0.08707	5.99033816425	4.78604102963	821.969142862	5.3544378076
207.5	0.0869	5.97590361446	4.79718993096	821.828116124	5.35420812517
208.0	0.08876	5.96153846154	4.67754809374	777.594577611	5.2806612149
208.5	0.08818	5.94724220624	4.71431000454	786.081411841	5.29501118339
209.0	0.08868	5.93301435407	4.68258988724	771.832468231	5.27085126096
209.5	0.0889	5.91885441527	4.66874696288	763.61770456	5.25677026082
210.0	0.08624	5.90476190476	4.84089365492	817.063603609	5.34643100007
210.5	0.08617	5.89073634204	4.84556846292	814.758008847	5.34265535501
211.0	0.08684	5.87677725118	4.80113533855	796.097676803	5.31179846544
211.5	0.0847	5.86288416076	4.94553772137	840.716680702	5.38471120609
212.0	0.08455	5.84905660377	4.95593555588	840.277915342	5.38400850585
212.5	0.08339	5.83529411765	5.03761777251	864.123719818	5.42180609713
213.0	0.08183	5.82159624413	5.15114352255	899.272813979	5.47611886137
213.5	0.08228	5.80796252927	5.11795088965	883.567717795	5.45205163161
214.0	0.08141	5.79439252336	5.18245662756	901.752128061	5.47988940905
214.5	0.08145	5.78088578089	5.1794604205	896.515525055	5.47191640082
215.0	0.08139	5.76744186047	5.18395584286	893.900206438	5.46792135376
215.5	0.08105	5.75406032483	5.20955646206	898.566700004	5.47504357501
216.0	0.08177	5.74074074074	5.15559699706	875.979196183	5.4403075027
216.5	0.08089	5.72748267898	5.22167877426	894.433119193	5.46873611859
217.0	0.07932	5.71428571429	5.34324043369	932.252027173	5.52564950736
217.5	0.07857	5.70114942529	5.40303706822	948.856947661	5.55009204215
218.0	0.07639	5.6880733945	5.58355434023	1008.67644092	5.63557156723
218.5	0.07599	5.67505720824	5.61780813331	1016.42255275	5.64636011439
219.0	0.076	5.66210045662	5.61694736842	1011.47662235	5.63947872232
219.5	0.07602	5.64920273349	5.61522652197	1006.25692581	5.63218900757
220.0	0.07722	5.63636363636	5.51361647501	965.764229248	5.57465222275
220.5	0.07663	5.62358276644	5.56317471552	978.749564197	5.59329719011
221.0	0.07658	5.61085972851	5.56740987464	975.809886168	5.5890925791
221.5	0.07591	5.59819413093	5.6247024641	991.505248132	5.61143264441
222.0	0.07481	5.58558558559	5.72100344941	1021.13189286	5.65288903147
222.5	0.07466	5.57303370787	5.73435652023	1021.29856356	5.65311968564
223.0	0.0737	5.56053811659	5.8211105156	1047.72023912	5.68933272914
223.5	0.07314	5.548098434	5.87277453924	1061.63437404	5.70812852207
224.0	0.07225	5.53571428571	5.95654022491	1087.26520932	5.74227348848
224.5	0.07118	5.52338530067	6.06003506884	1120.36866672	5.78549121689
225.0	0.07121	5.51111111111	6.05709074638	1114.31119726	5.77765524356
225.5	0.07249	5.49889135255	5.93374810388	1064.6539992	5.71218313227
226.0	0.0724	5.48672566372	5.94227734807	1062.99770814	5.70996021234
226.5	0.07304	5.47461368653	5.88208407448	1036.97769045	5.67469276521
227.0	0.07288	5.46255506608	5.89703275521	1037.66874572	5.67563795109
227.5	0.07089	5.45054945055	6.08862598462	1101.33429193	5.76076010741
228.0	0.07011	5.43859649123	6.16670526387	1124.8123088	5.79121935438
228.5	0.06888	5.42669584245	6.29344116144	1166.39947102	5.84402181597
229.0	0.06886	5.41484716157	6.29553949753	1162.08611369	5.83861149408
229.5	0.06874	5.40305010893	6.30815527786	1161.66991156	5.83808864794
230.0	0.06947	5.39130434783	6.23208637469	1128.89779838	5.79647085457
230.5	0.06921	5.37960954447	6.25899453908	1133.7326558	5.80266721097
231.0	0.06836	5.36796536797	6.34839884143	1161.30907003	5.83763523379
231.5	0.06871	5.35637149028	6.31131614103	1142.82899296	5.81427156606
232.0	0.06764	5.34482758621	6.42589569486	1179.59994641	5.86048671835
232.5	0.06856	5.33333333333	6.32716214702	1138.7158993	5.80903303349
233.0	0.06914	5.32188841202	6.26627378941	1112.11644062	5.77480821036
233.5	0.06877	5.31049250535	6.30499718555	1121.08720147	5.7864186074
234.0	0.06964	5.29914529915	6.21460173464	1084.52173295	5.7386477125
234.5	0.06924	5.28784648188	6.25587938764	1094.29498831	5.75153282273
235.0	0.06844	5.27659574468	6.3398891993	1119.1053748	5.78385964307
235.5	0.0683	5.26539278132	6.35479421669	1119.60423012	5.78450409243
236.0	0.06918	5.25423728814	6.26211240532	1082.58269915	5.73608093584
236.5	0.06964	5.24312896406	6.21460173464	1061.71434208	5.7082360108
237.0	0.0706	5.23206751055	6.1174529745	1024.44337312	5.65746647849
237.5	0.07147	5.22105263158	6.03167735344	991.727478705	5.61174704695
238.0	0.07179	5.21008403361	6.00065332289	977.431947736	5.59141378086
238.5	0.07243	5.19916142558	5.93943189907	953.578427961	5.55698346403
239.0	0.0731	5.18828451883	5.87649528044	929.574821353	5.52167814061
239.5	0.07396	5.17745302714	5.79739103299	900.943432307	5.4786603977
240.0	0.07503	5.16666666667	5.70151606624	867.763925581	5.42750707129
240.5	0.07613	5.15592515593	5.60577812229	835.381815824	5.3761484763
241.0	0.07808	5.14522821577	5.44272852459	784.228517677	5.29188816733
241.5	0.07974	5.13457556936	5.31024873088	743.427852307	5.22167342916
242.0	0.08208	5.12396694215	5.13265793372	691.667359975	5.12831059685
242.5	0.08423	5.11340206186	4.97824227057	647.995426511	5.04536958911
243.0	0.08678	5.10288065844	4.80508624337	601.219692332	4.95174531387
243.5	0.09036	5.09240246407	4.57860186808	543.639746748	4.82867305116
244.0	0.09274	5.08196721311	4.43778686435	508.62370641	4.74896697645
244.5	0.0968	5.07157464213	4.2136892562	456.678591716	4.62277401368
245.0	0.10034	5.0612244898	4.03322760415	416.693440013	4.51808259365
245.5	0.1048	5.05091649695	3.82339236641	372.93926869	4.39450060619
246.0	0.11028	5.0406504065	3.58905367428	327.290246073	4.25337099984
246.5	0.11508	5.03042596349	3.40234361488	292.931360055	4.13705664174
247.0	0.12103	5.02024291498	3.19172213873	256.743593702	4.00290150435
247.5	0.12579	5.0101010101	3.0377737662	231.634806136	3.90122460447
248.0	0.13208	5.0	2.85162449425	203.294056405	3.77599291197
248.5	0.13907	4.98993963783	2.66484671353	176.82149154	3.64656334712
249.0	0.14644	4.97991967871	2.48758765911	153.462215374	3.51965719014
249.5	0.15579	4.96993987976	2.28734361673	129.230520461	3.37164058872
250.0	0.16434	4.96	2.12464292199	111.054268203	3.24626383602
250.5	0.17317	4.9500998004	1.97392114367	95.4745253475	3.12587694244
251.0	0.18163	4.94023904382	1.84366419892	82.9582481275	3.01796982411
251.5	0.1902	4.93041749503	1.72391177708	72.2432815112	2.91540816792
252.0	0.19984	4.92063492063	1.60192160128	62.1333549207	2.80757392982
252.5	0.20952	4.91089108911	1.49116702558	53.6257264404	2.7060966092
253.0	0.22	4.90118577075	1.38272727273	45.9277728326	2.60326779912
253.5	0.23027	4.89151873767	1.2864990509	39.6010210149	2.50857214635
254.0	0.23996	4.88188976378	1.20366061344	34.5290028226	2.42407475706
254.5	0.25197	4.87229862475	1.11034821784	29.2675383884	2.325929512
255.0	0.2637	4.86274509804	1.02794404626	24.9863005976	2.23576158658
255.5	0.27602	4.85322896282	0.949472937468	21.2337521007	2.14662748504
256.0	0.2899	4.84375	0.869682666437	17.7453703767	2.05244376672
256.5	0.30186	4.8343079922	0.807327005234	15.232373893	1.97556761305
257.0	0.31422	4.82490272374	0.748351805105	13.0373325903	1.90019069116
257.5	0.32648	4.81553398058	0.694727380544	11.1922585658	1.82906623944
258.0	0.3385	4.80620155039	0.646354874446	9.65041556145	1.76252994291
258.5	0.35063	4.79690522244	0.601319620255	8.32018579587	1.69837370056
259.0	0.36485	4.78764478764	0.552851202549	7.00584233451	1.62691584854
259.5	0.37842	4.77842003854	0.510493230273	5.95043369674	1.56184220748
260.0	0.39082	4.76923076923	0.474771342818	5.12702775551	1.50475715533
260.5	0.40434	4.76007677543	0.438753073651	4.36182521608	1.44516376789
261.0	0.41707	4.75095785441	0.407374523341	3.74584744626	1.39119344139
261.5	0.42935	4.74187380497	0.379226065564	3.23367481731	1.34098551314
