"Storage 194731 - RawData - F:\201701009\2017-2896\3.spc"
"²¨³¤(nm)","T%"
200.00,38.403
200.50,38.454
201.00,38.687
201.50,38.966
202.00,39.433
202.50,40.642
203.00,41.933
203.50,43.011
204.00,44.008
204.50,44.698
205.00,45.824
205.50,46.964
206.00,47.580
206.50,48.761
207.00,49.648
207.50,50.719
208.00,51.807
208.50,52.975
209.00,53.551
209.50,54.500
210.00,55.844
210.50,56.938
211.00,57.881
211.50,58.702
212.00,59.836
212.50,60.239
213.00,61.151
213.50,62.123
214.00,62.662
214.50,63.397
215.00,64.043
215.50,64.696
216.00,65.617
216.50,66.661
217.00,68.095
217.50,68.939
218.00,69.183
218.50,69.756
219.00,69.933
219.50,70.285
220.00,71.082
220.50,71.555
221.00,71.642
221.50,71.733
222.00,71.738
222.50,71.437
223.00,71.854
223.50,72.328
224.00,72.249
224.50,72.685
225.00,72.586
225.50,72.456
226.00,72.441
226.50,72.310
227.00,72.253
227.50,72.192
228.00,72.221
228.50,72.072
229.00,71.916
229.50,71.803
230.00,71.736
230.50,71.582
231.00,71.574
231.50,71.497
232.00,71.388
232.50,71.353
233.00,71.484
233.50,71.753
234.00,71.869
234.50,72.086
235.00,71.811
235.50,71.530
236.00,71.671
236.50,71.762
237.00,72.223
237.50,72.435
238.00,72.508
238.50,72.549
239.00,72.604
239.50,72.641
240.00,72.386
240.50,72.057
241.00,71.719
241.50,71.565
242.00,71.556
242.50,71.622
243.00,71.927
243.50,72.034
244.00,72.075
244.50,72.551
245.00,72.385
245.50,72.588
246.00,72.829
246.50,72.751
247.00,73.010
247.50,73.100
248.00,73.154
248.50,73.242
249.00,73.363
249.50,73.247
250.00,73.369
250.50,73.381
251.00,73.445
251.50,73.582
252.00,73.419
252.50,73.457
253.00,73.294
253.50,73.309
254.00,73.579
254.50,73.772
255.00,74.066
255.50,74.202
256.00,74.231
256.50,74.535
257.00,74.442
257.50,74.663
258.00,74.771
258.50,74.377
259.00,74.307
259.50,74.071
260.00,74.246
260.50,74.500
261.00,74.809
261.50,75.058
262.00,75.044
262.50,74.808
263.00,74.654
263.50,74.770
264.00,74.634
264.50,74.803
265.00,74.832
265.50,74.910
266.00,75.151
266.50,75.273
267.00,75.427
267.50,75.362
268.00,75.230
268.50,75.284
269.00,75.510
269.50,75.476
270.00,75.687
270.50,75.577
271.00,75.563
271.50,75.734
272.00,75.662
272.50,75.621
273.00,75.362
273.50,75.166
274.00,75.302
274.50,75.470
275.00,75.584
275.50,75.896
276.00,75.764
276.50,75.461
277.00,75.563
277.50,75.301
278.00,75.557
278.50,75.949
279.00,76.091
279.50,76.326
280.00,76.259
280.50,76.341
281.00,76.472
281.50,76.479
282.00,76.425
282.50,76.299
283.00,76.108
283.50,76.192
284.00,76.453
284.50,76.872
285.00,77.263
285.50,77.336
286.00,77.467
286.50,77.182
287.00,77.065
287.50,77.135
288.00,77.100
288.50,77.515
289.00,77.519
289.50,77.525
290.00,77.238
290.50,76.877
291.00,76.772
291.50,76.625
292.00,76.791
292.50,77.052
293.00,77.002
293.50,77.121
294.00,76.866
294.50,76.747
295.00,76.926
295.50,77.023
296.00,77.278
296.50,77.344
297.00,77.304
297.50,77.325
298.00,77.684
298.50,77.740
299.00,77.988
299.50,78.229
300.00,78.290
300.50,78.413
301.00,78.394
301.50,78.398
302.00,78.125
302.50,78.426
303.00,78.491
303.50,78.435
304.00,78.508
304.50,78.119
305.00,78.191
305.50,78.600
306.00,79.155
306.50,78.641
307.00,78.746
307.50,78.497
308.00,77.844
308.50,79.118
309.00,79.965
309.50,80.862
310.00,81.987
310.50,81.923
311.00,81.453
311.50,80.228
312.00,79.550
312.50,79.848
313.00,80.821
313.50,81.996
314.00,83.138
314.50,83.241
315.00,82.080
315.50,81.909
316.00,80.811
316.50,80.937
317.00,81.178
317.50,81.367
318.00,83.116
318.50,84.210
319.00,85.199
319.50,85.408
320.00,84.328
320.50,83.604
321.00,82.838
321.50,82.425
322.00,82.550
322.50,82.199
323.00,82.327
323.50,82.043
324.00,81.352
324.50,80.606
325.00,81.148
325.50,81.078
326.00,82.243
326.50,82.791
327.00,82.117
327.50,83.945
328.00,83.510
328.50,83.429
329.00,83.806
329.50,82.565
330.00,81.558
330.50,82.228
331.00,82.684
331.50,82.831
332.00,83.730
332.50,83.907
333.00,83.232
333.50,83.173
334.00,84.227
334.50,84.177
335.00,84.550
335.50,85.704
336.00,85.785
336.50,85.382
337.00,85.648
337.50,84.196
338.00,82.266
338.50,81.917
339.00,80.794
339.50,81.236
340.00,83.688
340.50,84.822
341.00,86.032
341.50,86.142
342.00,85.400
342.50,84.792
343.00,84.880
343.50,84.991
344.00,85.167
344.50,85.573
345.00,85.747
345.50,86.577
346.00,86.043
346.50,86.212
347.00,85.223
347.50,84.758
348.00,85.271
348.50,86.076
349.00,87.358
349.50,87.802
350.00,88.269
350.50,88.354
351.00,88.147
351.50,88.141
352.00,87.399
352.50,87.157
353.00,86.702
353.50,86.786
354.00,87.549
354.50,87.802
355.00,88.776
355.50,89.619
356.00,90.236
356.50,89.897
357.00,91.042
357.50,90.973
358.00,91.225
358.50,91.841
359.00,90.988
359.50,89.870
360.00,89.384
360.50,89.397
361.00,89.220
361.50,89.807
362.00,89.543
362.50,89.886
363.00,90.884
363.50,91.885
364.00,92.007
364.50,91.779
365.00,91.222
365.50,90.727
366.00,91.138
366.50,91.396
367.00,91.557
367.50,91.716
368.00,92.099
368.50,91.946
369.00,91.762
369.50,91.783
370.00,91.386
370.50,91.397
371.00,91.953
371.50,92.081
372.00,92.241
372.50,92.375
373.00,92.143
373.50,92.281
374.00,92.628
374.50,92.744
375.00,92.860
375.50,92.618
376.00,92.348
376.50,92.212
377.00,92.294
377.50,92.706
378.00,93.004
378.50,93.173
379.00,93.144
379.50,93.214
380.00,93.219
380.50,93.312
381.00,93.297
381.50,93.201
382.00,93.158
382.50,93.152
383.00,93.259
383.50,93.214
384.00,93.373
384.50,93.340
385.00,93.365
385.50,93.489
386.00,93.542
386.50,93.684
387.00,93.855
387.50,93.773
388.00,93.735
388.50,93.689
389.00,93.457
389.50,93.477
390.00,93.246
390.50,93.198
391.00,93.263
391.50,93.394
392.00,93.489
392.50,93.835
393.00,94.164
393.50,94.299
394.00,94.409
394.50,94.347
395.00,94.148
395.50,94.034
396.00,94.246
396.50,94.409
397.00,94.583
397.50,94.670
398.00,94.612
398.50,94.495
399.00,94.466
399.50,94.635
400.00,94.731
400.50,94.798
401.00,94.969
401.50,95.168
402.00,95.297
402.50,95.383
403.00,95.465
403.50,95.341
404.00,95.317
404.50,95.239
405.00,95.029
405.50,95.079
406.00,95.261
406.50,95.384
407.00,95.518
407.50,95.486
408.00,95.271
408.50,95.299
409.00,95.377
409.50,95.351
410.00,95.311
410.50,95.128
411.00,95.015
411.50,95.107
412.00,95.490
412.50,95.882
413.00,96.097
413.50,96.199
414.00,95.944
414.50,95.808
415.00,95.660
415.50,95.526
416.00,95.624
416.50,95.636
417.00,95.763
417.50,95.930
418.00,96.022
418.50,96.190
419.00,96.236
419.50,96.257
420.00,96.323
420.50,96.341
421.00,96.437
421.50,96.413
422.00,96.312
422.50,96.281
423.00,96.317
423.50,96.303
424.00,96.339
424.50,96.301
425.00,96.411
425.50,96.558
426.00,96.687
426.50,96.750
427.00,96.620
427.50,96.623
428.00,96.582
428.50,96.564
429.00,96.527
429.50,96.533
430.00,96.507
430.50,96.455
431.00,96.498
431.50,96.455
432.00,96.474
432.50,96.414
433.00,96.434
433.50,96.410
434.00,96.472
434.50,96.605
435.00,96.675
435.50,96.786
436.00,96.768
436.50,96.823
437.00,96.750
437.50,96.748
438.00,96.828
438.50,96.828
439.00,96.806
439.50,96.829
440.00,96.725
440.50,96.559
441.00,96.632
441.50,96.550
442.00,96.629
442.50,96.768
443.00,96.815
443.50,96.791
444.00,96.790
444.50,96.823
445.00,96.805
445.50,96.838
446.00,96.773
446.50,96.707
447.00,96.687
447.50,96.791
448.00,96.889
448.50,96.982
449.00,96.909
449.50,96.883
450.00,96.939
450.50,96.954
451.00,97.116
451.50,97.090
452.00,97.002
452.50,97.055
453.00,97.026
453.50,97.046
454.00,97.099
454.50,97.130
455.00,97.134
455.50,97.119
456.00,97.075
456.50,96.944
457.00,97.040
457.50,97.041
458.00,97.037
458.50,97.107
459.00,96.979
459.50,96.977
460.00,96.901
460.50,96.851
461.00,96.806
461.50,96.831
462.00,96.878
462.50,96.867
463.00,96.814
463.50,96.773
464.00,96.809
464.50,96.869
465.00,97.015
465.50,97.179
466.00,97.217
466.50,97.308
467.00,97.281
467.50,97.247
468.00,97.260
468.50,97.243
469.00,97.321
469.50,97.333
470.00,97.350
470.50,97.250
471.00,97.261
471.50,97.267
472.00,97.189
472.50,97.218
473.00,97.037
473.50,96.886
474.00,96.996
474.50,96.979
475.00,97.110
475.50,97.194
476.00,97.137
476.50,97.188
477.00,97.258
477.50,97.194
478.00,97.285
478.50,97.334
479.00,97.267
479.50,97.357
480.00,97.339
480.50,97.421
481.00,97.466
481.50,97.504
482.00,97.551
482.50,97.476
483.00,97.430
483.50,97.462
484.00,97.331
484.50,97.307
485.00,97.292
485.50,97.276
486.00,97.333
486.50,97.321
487.00,97.328
487.50,97.362
488.00,97.493
488.50,97.495
489.00,97.609
489.50,97.589
490.00,97.539
490.50,97.620
491.00,97.684
491.50,97.688
492.00,97.636
492.50,97.562
493.00,97.440
493.50,97.415
494.00,97.504
494.50,97.507
495.00,97.563
495.50,97.525
496.00,97.397
496.50,97.424
497.00,97.253
497.50,97.281
498.00,97.243
498.50,97.205
499.00,97.354
499.50,97.356
500.00,97.447
500.50,97.452
501.00,97.380
501.50,97.339
502.00,97.272
502.50,97.264
503.00,97.290
503.50,97.301
504.00,97.447
504.50,97.501
505.00,97.563
505.50,97.681
506.00,97.659
506.50,97.693
507.00,97.729
507.50,97.647
508.00,97.502
508.50,97.493
509.00,97.412
509.50,97.401
510.00,97.379
510.50,97.386
511.00,97.348
511.50,97.336
512.00,97.493
512.50,97.516
513.00,97.664
513.50,97.749
514.00,97.823
514.50,97.717
515.00,97.626
515.50,97.600
516.00,97.530
516.50,97.655
517.00,97.720
517.50,97.691
518.00,97.705
518.50,97.638
519.00,97.574
519.50,97.710
520.00,97.784
520.50,97.798
521.00,97.832
521.50,97.813
522.00,97.672
522.50,97.691
523.00,97.800
523.50,97.798
524.00,97.937
524.50,98.059
525.00,97.969
525.50,97.820
526.00,97.571
526.50,97.530
527.00,97.520
527.50,97.566
528.00,97.818
528.50,97.807
529.00,97.874
529.50,98.026
530.00,97.935
530.50,97.906
531.00,97.824
531.50,97.719
532.00,97.734
532.50,97.816
533.00,97.894
533.50,98.051
534.00,98.033
534.50,97.987
535.00,98.111
535.50,98.044
536.00,98.058
536.50,98.026
537.00,97.781
537.50,97.653
538.00,97.679
538.50,97.697
539.00,97.867
539.50,97.998
540.00,98.026
540.50,98.080
541.00,98.109
541.50,98.055
542.00,98.061
542.50,98.021
543.00,98.006
543.50,98.044
544.00,98.030
544.50,98.148
545.00,98.175
545.50,98.233
546.00,98.315
546.50,98.235
547.00,98.170
547.50,98.135
548.00,98.094
548.50,98.100
549.00,98.164
549.50,98.164
550.00,98.239
550.50,98.300
551.00,98.299
551.50,98.277
552.00,98.189
552.50,98.219
553.00,98.254
553.50,98.322
554.00,98.352
554.50,98.277
555.00,98.108
555.50,98.050
556.00,98.055
556.50,98.010
557.00,98.108
557.50,98.213
558.00,98.303
558.50,98.360
559.00,98.318
559.50,98.216
560.00,98.114
560.50,98.128
561.00,98.160
561.50,98.204
562.00,98.257
562.50,98.260
563.00,98.277
563.50,98.238
564.00,98.187
564.50,98.190
565.00,98.207
565.50,98.276
566.00,98.201
566.50,98.091
567.00,98.151
567.50,98.207
568.00,98.338
568.50,98.457
569.00,98.444
569.50,98.380
570.00,98.441
570.50,98.438
571.00,98.415
571.50,98.454
572.00,98.486
572.50,98.497
573.00,98.544
573.50,98.529
574.00,98.488
574.50,98.602
575.00,98.621
575.50,98.674
576.00,98.755
576.50,98.724
577.00,98.810
577.50,98.807
578.00,98.712
578.50,98.755
579.00,98.689
579.50,98.640
580.00,98.648
580.50,98.550
